pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
Kepler-1922 b,13.22259998,71.11,740.0,2.29064904,5.86,0.0,5931.0,-0.28,0,0.25129628,71.11,0,0.48755313511247617,485.0,G,True,False,False,False,0.3715
HIP 41378 e,369.0,2.1,335.0,4.92,12.0,0.0,6320.0,-0.1,0,0.25374714,2.1,0,0.10075948469181302,80.0,F,False,False,False,False,0.6235
HD 96127 b,638.9,364.3861,947.29,13.0,1207.7479466,0.3,3943.0,-0.24,0,0.076004679,364.3861,0,0.5497259656804734,692.29,K,False,False,True,False,0.1262
WASP-63 b,4.37808,1103.2708,1469.91,15.80469,117.5971,0.0,5550.0,0.08,0,0.058863119,1103.2708,0,0.029787816272446865,1214.91,G,True,False,False,False,0.1199
GJ 1132 b,1.62892911,19.3,583.8,1.19151465,1.83704819,0.0118,3229.0,-0.17,0,0.36153632,19.3,0,1.0859814063673388,328.79999999999995,M,False,False,False,True,0.5438
TOI-6223 b,3.855219,41.8646,714.0,5.07,22.6,0.032,3895.0,-0.12,0,,41.8646,0,0.17341416182762504,459.0,M,False,False,False,True,0.321
Kepler-178 d,96.678988,3.874,392.0,3.95,14.8,0.0,5676.0,-0.04,0,0.40501643,3.874,0,0.2401432746699551,137.0,G,True,False,False,False,0.5539
HD 88133 b,3.414884,1368.0872,1762.08,13.8,324.1866,0.031,5392.0,0.34,0,0.06595247,1368.0872,0,0.12335529620193052,1507.08,G,True,False,False,False,0.0928
TOI-7384 b,6.2340258,4.9,378.0,3.56,12.4,0.4,3185.0,0.0,0,,4.9,0,0.27483477996904826,123.0,M,False,False,False,True,0.5689
K2-281 b,8.687721,37.7384,665.0,8.18,50.9,0.022,4812.0,0.22,0,0.13073733,37.7384,0,0.09299463010638631,410.0,K,False,False,True,False,0.2931
TOI-1448 b,8.112245,5.45,426.0,2.749,19.5,0.36,3412.0,0.37,0,,5.45,0,0.938664496840445,171.0,M,False,False,False,True,0.5133
